TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
TITLE:,MEDIAN AGE OF THE TOTAL POPULATION,,,,
R0101,040C1US45,South Carolina -- In metropolitan statistical area -- in principal city,1,35.2,+/-0.8
R0101,040C1US46,South Dakota -- In metropolitan statistical area -- in principal city,1,36.5,+/-0.9
R0101,040C1US47,Tennessee -- In metropolitan statistical area -- in principal city,1,34.5,+/-0.3
R0101,040C1US48,Texas -- In metropolitan statistical area -- in principal city,1,33.4,+/-0.2
R0101,040C1US49,Utah -- In metropolitan statistical area -- in principal city,1,28.5,+/-0.4
R0101,040C1US51,Virginia -- In metropolitan statistical area -- in principal city,1,34.6,+/-0.1
R0101,040C1US53,Washington -- In metropolitan statistical area -- in principal city,1,35.7,+/-0.3
R0101,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,1,39.5,+/-1.3
R0101,040C1US55,Wisconsin -- In metropolitan statistical area -- in principal city,1,33.6,+/-0.4
R0101,040C1US56,Wyoming -- In metropolitan statistical area -- in principal city,1,38.4,+/-2.2
R0101,040C1US72,Puerto Rico -- In metropolitan statistical area -- in principal city,1,43.5,+/-0.6
R0101,040C2US01,Alabama -- In metropolitan statistical area -- not in principal city,1,40.0,+/-0.5
R0101,040C2US02,Alaska -- In metropolitan statistical area -- not in principal city,1,35.4,+/-0.8
R0101,040C2US04,Arizona -- In metropolitan statistical area -- not in principal city,1,42.0,+/-0.5
R0101,040C2US05,Arkansas -- In metropolitan statistical area -- not in principal city,1,39.7,+/-0.5
R0101,040C2US06,California -- In metropolitan statistical area -- not in principal city,1,37.7,+/-0.2
R0101,040C2US08,Colorado -- In metropolitan statistical area -- not in principal city,1,38.5,+/-0.4
R0101,040C2US09,Connecticut -- In metropolitan statistical area -- not in principal city,1,42.6,+/-0.3
R0101,040C2US10,Delaware -- In metropolitan statistical area -- not in principal city,1,42.1,+/-0.4
R0101,040C2US12,Florida -- In metropolitan statistical area -- not in principal city,1,43.4,+/-0.2
R0101,040C2US13,Georgia -- In metropolitan statistical area -- not in principal city,1,37.5,+/-0.1
R0101,040C2US15,Hawaii -- In metropolitan statistical area -- not in principal city,1,37.8,+/-0.6
R0101,040C2US16,Idaho -- In metropolitan statistical area -- not in principal city,1,37.3,+/-0.5
R0101,040C2US17,Illinois -- In metropolitan statistical area -- not in principal city,1,39.9,+/-0.2
R0101,040C2US18,Indiana -- In metropolitan statistical area -- not in principal city,1,39.8,+/-0.3
R0101,040C2US19,Iowa -- In metropolitan statistical area -- not in principal city,1,38.2,+/-0.5
R0101,040C2US20,Kansas -- In metropolitan statistical area -- not in principal city,1,37.8,+/-0.5
R0101,040C2US21,Kentucky -- In metropolitan statistical area -- not in principal city,1,39.3,+/-0.4
R0101,040C2US22,Louisiana -- In metropolitan statistical area -- not in principal city,1,38.0,+/-0.3
R0101,040C2US23,Maine -- In metropolitan statistical area -- not in principal city,1,45.0,+/-0.6
R0101,040C2US24,Maryland -- In metropolitan statistical area -- not in principal city,1,39.5,+/-0.2
R0101,040C2US25,Massachusetts -- In metropolitan statistical area -- not in principal city,1,41.5,+/-0.2
R0101,040C2US26,Michigan -- In metropolitan statistical area -- not in principal city,1,40.9,+/-0.2
R0101,040C2US27,Minnesota -- In metropolitan statistical area -- not in principal city,1,39.1,+/-0.3
R0101,040C2US28,Mississippi -- In metropolitan statistical area -- not in principal city,1,38.6,+/-0.5
R0101,040C2US29,Missouri -- In metropolitan statistical area -- not in principal city,1,39.8,+/-0.3
R0101,040C2US30,Montana -- In metropolitan statistical area -- not in principal city,1,41.9,+/-1.9
R0101,040C2US31,Nebraska -- In metropolitan statistical area -- not in principal city,1,37.0,+/-0.6
R0101,040C2US32,Nevada -- In metropolitan statistical area -- not in principal city,1,37.4,+/-0.5
R0101,040C2US33,New Hampshire -- In metropolitan statistical area -- not in principal city,1,42.6,+/-0.5
