,2015,2016,2017,2018
Steele,"128,484","227,906","178,207","183,572"
Stutsman,"1,058,119","1,265,419","1,230,690","1,337,331"
Towner,"86,568","81,594","96,848","125,071"
Traill,"418,394","409,375","436,391","397,360"
Walsh,"565,198","448,297","559,783","487,946"
Ward,"4,055,404","3,650,218","3,555,409","3,733,225"
Wells,"268,488","265,222","323,939","268,583"
Williams,"6,721,576","4,887,064","4,921,056","5,435,976"
,,,,
Ohio,"580,414,093","585,088,902","594,315,188","605,394,561"
Adams,"1,369,333","1,528,527","1,285,726","835,269"
Allen,"7,017,857","7,137,897","7,249,480","7,558,930"
Ashland,"1,609,795","1,598,130","1,595,899","1,627,015"
Ashtabula,"2,784,450","2,683,288","2,719,196","2,781,238"
Athens,"1,892,880","1,898,820","1,961,671","1,899,070"
Auglaize,"2,009,807","2,003,508","2,074,560","2,234,651"
Belmont,"4,355,531","5,175,882","6,448,543","6,153,399"
Brown,"780,418","769,987","787,000","785,545"
Butler,"16,808,916","17,223,274","17,759,787","18,352,682"
Carroll,"3,102,236","3,617,615","3,232,375","3,157,285"
Champaign,"1,025,201","992,346","1,089,925","1,058,604"
Clark,"4,294,566","4,284,040","4,352,218","4,414,081"
Clermont,"7,418,889","7,195,908","7,471,274","7,620,619"
Clinton,"1,764,094","1,787,618","1,827,429","1,933,426"
Columbiana,"3,102,927","2,960,143","2,964,828","2,970,872"
Coshocton,"1,551,870","1,383,780","1,329,803","1,331,966"
Crawford,"1,267,182","1,243,057","1,250,396","1,235,200"
Cuyahoga,"85,763,963","85,879,394","86,988,138","88,717,686"
Darke,"1,719,201","2,012,476","1,903,407","1,841,018"
Defiance,"1,692,186","1,734,683","1,653,830","1,710,144"
Delaware,"8,974,761","9,271,953","9,765,615","9,853,034"
Erie,"4,866,634","4,973,481","4,907,825","4,996,510"
Fairfield,"3,579,982","3,636,171","3,831,982","3,795,258"
Fayette,"2,049,146","2,287,329","2,208,698","2,311,461"
Franklin,"82,444,864","83,159,605","84,688,146","86,497,107"
Fulton,"2,004,665","1,977,001","1,963,895","1,984,068"
Gallia,"1,920,237","2,044,957","2,180,751","2,158,774"
Geauga,"3,658,335","3,594,792","3,659,094","3,733,117"
Greene,"8,178,552","8,336,201","8,559,962","8,796,649"
Guernsey,"2,340,389","2,234,255","2,319,688","2,607,037"
Hamilton,"64,157,236","65,651,526","66,604,173","66,977,577"
Hancock,"5,536,492","5,394,451","5,226,732","5,242,941"
Hardin,"839,240","846,835","824,076","952,308"
Harrison,"2,354,971","2,746,683","2,480,727","1,996,217"
Henry,"1,050,729","1,100,507","1,084,932","1,142,699"
Highland,"987,667","980,858","1,027,096","1,025,946"
Hocking,"584,489","589,189","592,438","586,310"
Holmes,"2,062,422","2,017,562","2,202,629","2,211,791"
Huron,"2,121,494","2,066,681","2,168,602","2,163,662"
Jackson,"925,429","890,195","891,526","899,289"
Jefferson,"2,963,056","3,142,613","3,456,018","3,836,529"
Knox,"1,864,195","1,824,453","1,868,251","1,893,132"
Lake,"10,274,824","10,313,229","10,343,359","10,482,488"
Lawrence,"1,620,930","1,684,179","1,562,763","1,626,548"
Licking,"5,160,590","5,179,948","5,316,725","5,577,325"
Logan,"1,799,183","1,817,093","1,839,684","1,921,506"
Lorain,"9,956,275","9,878,722","9,892,230","10,027,706"
Lucas,"24,102,235","23,856,108","24,073,775","24,726,798"
Madison,"1,589,351","1,645,255","1,747,084","1,689,443"
Mahoning,"8,642,714","8,512,047","8,594,657","8,660,236"
Marion,"2,435,079","2,471,461","2,581,846","2,688,988"
Medina,"6,115,445","6,179,047","6,250,513","6,362,804"
Meigs,"370,041","358,481","356,236","364,284"
Mercer,"1,971,952","1,840,435","1,886,572","2,157,710"
Miami,"3,841,684","3,944,911","3,987,969","4,056,603"
Monroe,"1,716,334","2,468,886","2,643,518","3,348,767"
Montgomery,"24,958,095","25,000,243","25,413,874","25,846,635"
Morgan,"296,701","289,645","301,273","305,891"
Morrow,"600,852","585,433","534,655","560,880"
Muskingum,"3,642,468","3,552,449","3,561,412","3,650,728"
Noble,"1,438,383","1,439,000","1,365,013","1,222,413"
Ottawa,"1,861,788","1,784,783","1,861,090","1,826,546"
Paulding,"553,238","544,632","535,779","583,138"
Perry,"634,815","635,718","684,221","716,005"
Pickaway,"1,555,383","1,587,230","1,716,544","1,703,465"
Pike,"1,561,518","1,687,654","1,616,983","1,721,831"
Portage,"5,416,697","5,295,803","5,365,071","5,443,756"
Preble,"991,661","1,060,737","1,066,987","1,130,191"
Putnam,"1,243,560","1,144,342","1,142,089","1,288,471"
Richland,"4,287,575","4,275,260","4,324,887","4,395,247"
Ross,"2,503,185","2,455,400","2,516,975","2,585,225"
Sandusky,"2,660,036","2,561,870","2,638,653","2,645,958"
Scioto,"2,857,741","2,811,481","2,913,525","2,879,940"
Seneca,"1,741,555","1,731,778","1,634,317","1,691,055"
Shelby,"2,808,665","2,795,544","2,858,071","2,946,112"
Stark,"15,174,803","14,767,795","15,081,745","15,368,075"
Summit,"26,663,847","26,817,706","27,010,320","27,469,578"
Trumbull,"7,507,122","7,323,882","7,129,207","7,324,549"
Tuscarawas,"3,505,071","3,383,761","3,541,214","3,427,629"
Union,"3,375,209","3,461,927","3,639,097","3,699,605"
Van Wert,"1,068,746","1,099,937","1,155,863","1,280,158"
Vinton,"233,406","262,549","260,163","284,889"
Warren,"8,786,707","9,298,764","9,443,616","9,800,470"
Washington,"3,363,329","3,286,752","3,191,102","3,258,342"
Wayne,"4,786,305","4,879,077","4,971,954","5,065,142"
Williams,"1,550,549","1,602,437","1,553,147","1,603,752"
Wood,"5,949,133","6,045,965","6,103,637","6,283,101"
Wyandot,"881,829","888,834","906,967","1,001,495"
,,,,
Oklahoma,"195,902,133","190,109,718","191,544,229","196,524,608"
Adair,"430,694","424,679","419,065","408,031"
Alfalfa,"423,149","345,852","314,076","298,710"
Atoka,"280,839","290,614","294,804","295,589"
Beaver,"334,194","366,518","403,184","394,575"
Beckham,"1,383,029","1,197,148","1,251,868","1,290,829"
Blaine,"380,382","371,722","381,962","387,582"
Bryan,"1,198,302","1,257,544","1,328,173","1,384,160"
Caddo,"808,449","754,752","783,384","830,123"
Canadian,"3,351,297","3,253,235","3,453,778","4,179,430"
Carter,"2,942,382","2,819,009","2,741,834","2,774,940"
Cherokee,"1,116,493","1,101,957","1,083,691","1,089,457"
Choctaw,"470,073","417,288","422,450","401,704"
Cimarron,"209,932","209,709","223,045","227,759"
Cleveland,"7,218,155","7,035,475","6,984,853","7,136,979"
Coal,"124,128","113,983","110,858","113,178"
Comanche,"4,555,274","4,419,224","4,375,976","4,449,256"
Cotton,"183,083","139,865","132,679","154,329"
Craig,"460,270","430,893","424,961","437,043"
Creek,"1,724,905","1,709,253","1,714,778","1,772,087"
Custer,"1,561,445","1,486,465","1,562,556","1,608,792"
Delaware,"806,705","782,350","804,068","781,897"
Dewey,"275,075","285,355","270,449","287,368"
Ellis,"277,578","280,780","331,455","310,260"
Garfield,"4,329,007","4,591,465","3,345,503","3,391,713"
Garvin,"1,593,669","1,405,677","1,439,033","1,442,473"
Grady,"1,296,396","1,256,968","1,274,825","1,325,781"
Grant,"363,602","375,589","430,083","410,720"
Greer,"107,874","98,653","98,830","101,044"
Harmon,"130,149","88,941","74,971","70,276"
Harper,"263,182","290,250","281,525","292,756"
Haskell,"371,424","346,586","337,507","334,121"
Hughes,"331,154","318,918","326,243","336,760"
Jackson,"1,071,006","1,088,957","1,115,074","1,161,027"
Jefferson,"161,731","160,390","138,729","130,558"
Johnston,"301,013","326,618","333,660","356,917"
Kay,"1,672,410","1,649,961","1,679,034","1,704,780"
Kingfisher,"724,748","758,330","789,892","947,739"
Kiowa,"254,049","229,400","218,569","209,120"
Latimer,"483,193","448,427","393,997","370,132"
Le Flore,"1,402,994","1,389,376","1,373,567","1,361,405"
Lincoln,"686,056","652,778","643,212","658,277"
Logan,"594,197","590,636","607,349","614,523"
Love,"366,583","384,100","388,888","396,813"
McClain,"918,958","904,202","913,203","956,594"
McCurtain,"901,853","891,871","896,124","881,333"
McIntosh,"325,487","311,251","302,841","313,643"
Major,"489,808","443,652","436,118","450,856"
Marshall,"465,337","437,857","459,906","498,737"
Mayes,"1,603,114","1,448,127","1,273,558","1,438,706"
Murray,"523,173","472,783","487,694","498,180"
Muskogee,"2,960,187","2,954,344","2,954,303","2,912,342"
Noble,"636,275","555,634","557,514","611,248"
Nowata,"195,512","177,050","166,664","176,012"
Okfuskee,"206,170","200,273","187,648","202,438"
Oklahoma,"63,844,230","63,020,947","63,498,956","64,803,045"
Okmulgee,"819,519","792,898","786,503","803,796"
Osage,"953,799","951,807","907,140","839,531"
Ottawa,"892,777","887,450","876,841","889,795"
Pawnee,"327,727","327,337","333,281","345,675"
Payne,"3,122,860","3,028,762","3,008,781","3,083,512"
Pittsburg,"1,560,897","1,503,975","1,592,070","1,690,497"
Pontotoc,"1,811,615","1,906,138","1,995,797","2,013,020"
Pottawatomie,"2,004,266","1,903,100","1,872,254","1,864,658"
Pushmataha,"223,905","215,567","209,186","205,875"
Roger Mills,"135,578","155,352","141,606","136,434"
Rogers,"2,744,013","2,497,425","2,434,626","2,549,812"
Seminole,"705,995","699,012","677,926","711,545"
Sequoyah,"651,604","646,184","638,407","640,722"
Stephens,"1,673,256","1,474,295","1,440,745","1,484,321"
Texas,"1,440,645","1,395,116","1,489,301","1,474,341"
Tillman,"267,634","338,088","334,014","303,769"
Tulsa,"45,880,533","42,824,288","44,738,008","46,158,530"
Wagoner,"1,050,012","1,041,296","983,801","1,018,993"
Washington,"7,182,351","7,986,634","7,978,470","7,936,430"
Washita,"233,406","233,359","239,583","249,218"
Woods,"920,220","909,241","742,646","717,358"
Woodward,"1,370,250","1,320,988","1,307,085","1,271,241"
,,,,
Oregon,"191,999,012","200,948,186","208,625,773","216,561,514"
Baker,"509,371","529,953","566,364","580,947"
Benton,"4,215,045","4,347,188","4,484,532","4,705,402"
Clackamas,"17,198,027","18,108,725","18,898,254","19,580,688"
Clatsop,"1,590,705","1,642,705","1,696,418","1,740,163"
Columbia,"1,125,303","1,161,825","1,171,275","1,206,750"
Coos,"1,941,228","2,000,459","2,041,251","2,091,146"
Crook,"604,309","634,792","649,724","697,812"
Curry,"592,246","611,974","618,895","624,680"
Deschutes,"6,672,082","7,303,591","7,892,078","8,195,615"
Douglas,"3,074,741","3,218,473","3,348,546","3,382,950"
Gilliam,"296,287","301,584","280,719","300,239"
Grant,"280,311","273,878","261,931","270,450"
Harney,"268,373","254,129","276,630","275,187"
Hood River,"972,603","1,030,921","1,051,387","1,143,163"
Jackson,"7,384,730","7,700,451","7,957,275","8,219,635"
Jefferson,"607,581","625,269","671,395","690,490"
Josephine,"2,241,748","2,337,115","2,454,025","2,554,777"
Klamath,"1,993,325","2,029,679","2,166,304","2,234,621"
Lake,"265,971","284,328","293,838","286,236"
Lane,"13,807,680","14,146,848","14,683,029","15,067,333"
Lincoln,"1,607,582","1,642,186","1,700,511","1,757,779"
Linn,"3,861,453","4,072,242","4,210,211","4,418,178"
Malheur,"1,034,706","1,000,059","1,112,069","1,183,673"
Marion,"13,063,620","13,622,933","13,959,871","14,356,411"
Morrow,"1,200,779","1,202,369","1,120,213","1,084,849"
Multnomah,"52,471,712","55,332,400","57,293,675","59,722,160"
Polk,"1,623,371","1,679,784","1,712,544","1,800,079"
Sherman,"628,566","647,210","655,582","583,912"
Tillamook,"874,374","918,841","941,141","950,167"
Umatilla,"2,930,458","3,126,738","3,251,159","3,387,635"
Union,"847,303","855,453","905,164","949,249"
Wallowa,"349,630","360,479","377,192","362,181"
Wasco,"1,216,453","1,287,913","1,277,098","1,236,735"
Washington,"41,410,550","43,342,566","45,299,055","47,541,712"
Wheeler,"56,515","53,876","59,032","64,113"
Yamhill,"3,225,526","3,304,110","3,333,620","3,389,781"
,,,,
Pennsylvania,"681,234,571","689,844,386","693,675,632","711,822,173"
Adams,"3,334,856","3,327,497","3,476,444","3,487,746"
Allegheny,"83,017,798","82,618,284","84,107,607","86,799,511"
Armstrong,"2,276,494","2,228,905","2,330,667","2,344,977"
Beaver,"6,615,525","6,525,338","6,725,165","7,129,597"
Bedford,"1,470,333","1,434,084","1,498,362","1,505,845"
Berks,"18,023,285","17,947,700","17,911,239","18,443,415"
Blair,"5,231,330","5,195,441","5,260,675","5,354,290"
Bradford,"4,856,827","5,160,201","5,397,156","5,109,302"
Bucks,"29,447,995","29,840,332","29,839,627","30,571,290"
Butler,"9,624,865","9,723,458","9,854,888","10,060,376"
Cambria,"4,562,547","4,476,405","4,455,663","4,550,684"
Cameron,"230,873","254,177","254,655","243,704"
Carbon,"2,066,060","2,137,686","2,113,357","2,201,379"
Centre,"7,565,612","7,728,852","7,926,572","7,929,168"
Chester,"39,123,747","40,078,808","41,196,741","41,947,957"
Clarion,"1,222,337","1,189,419","1,180,605","1,203,238"
Clearfield,"2,600,314","2,481,032","2,591,034","2,619,560"
Clinton,"1,527,318","1,525,767","1,507,144","1,472,252"
Columbia,"2,236,756","2,247,913","2,245,364","2,308,721"
Crawford,"2,898,747","2,820,909","2,885,992","2,963,429"
Cumberland,"13,434,666","13,387,426","13,515,945","13,853,916"
Dauphin,"20,299,060","20,476,592","20,623,247","21,169,400"
Delaware,"29,378,671","29,291,807","29,899,618","30,635,413"
Elk,"1,397,570","1,418,356","1,444,515","1,469,386"
Erie,"11,262,083","11,026,281","10,860,163","11,200,594"
Fayette,"4,043,595","3,966,995","3,935,183","4,008,354"
Forest,"287,912","283,843","276,930","274,369"
Franklin,"5,271,900","5,241,440","5,412,963","5,583,610"
Fulton,"558,558","566,736","604,764","663,976"
Greene,"4,166,626","4,351,426","4,444,297","4,452,185"
Huntingdon,"1,221,304","1,216,704","1,235,321","1,260,972"
Indiana,"4,107,160","3,788,192","3,843,789","3,867,491"
Jefferson,"1,563,729","1,512,253","1,538,225","1,569,079"
Juniata,"696,557","653,676","730,790","755,938"
Lackawanna,"8,597,008","8,666,241","8,738,190","9,039,506"
Lancaster,"24,930,839","25,009,837","25,768,354","26,442,386"
Lawrence,"2,818,025","2,767,252","2,755,272","2,846,290"
Lebanon,"5,337,260","5,381,158","5,473,599","5,659,207"
Lehigh,"20,906,961","21,142,432","21,101,822","21,674,408"
Luzerne,"14,296,940","14,330,958","14,423,152","14,876,375"
Lycoming,"6,629,559","6,519,510","6,569,871","6,530,249"
McKean,"1,818,940","1,771,932","1,824,340","1,865,208"
Mercer,"4,106,092","4,030,379","4,069,357","4,101,219"
Mifflin,"1,572,633","1,544,588","1,568,453","1,594,976"
Monroe,"5,560,621","5,688,610","5,529,321","5,673,380"
Montgomery,"66,088,804","67,769,226","67,635,710","69,918,251"
Montour,"1,783,793","1,743,495","1,716,419","1,723,924"
Northampton,"11,930,581","12,198,990","12,191,945","12,457,389"
Northumberland,"2,911,110","2,873,576","2,982,734","2,920,049"
Perry,"847,777","817,963","880,431","880,847"
Philadelphia,"105,086,826","110,272,136","106,852,689","110,734,916"
Pike,"1,196,832","1,235,038","1,216,978","1,253,930"
Potter,"632,264","653,646","698,056","744,771"
Schuylkill,"4,755,673","4,682,838","4,693,114","4,810,715"
Snyder,"1,308,338","1,310,081","1,389,748","1,551,086"
Somerset,"2,500,565","2,467,621","2,512,800","2,601,860"
Sullivan,"518,898","554,689","639,158","561,999"
Susquehanna,"4,417,614","5,181,072","5,530,657","5,152,922"
Tioga,"2,021,398","2,104,675","2,086,230","2,158,993"
Union,"1,708,618","1,720,305","1,732,261","1,763,808"
Venango,"1,759,210","1,715,875","1,708,831","1,744,639"
Warren,"1,554,850","1,538,692","1,549,021","1,591,424"
Washington,"14,136,960","14,367,271","14,657,423","15,025,337"
Wayne,"1,441,687","1,456,959","1,486,486","1,526,693"
Westmoreland,"12,790,203","12,649,986","12,764,712","13,083,629"
Wyoming,"2,108,432","2,265,154","2,414,519","2,201,326"
York,"17,734,523","17,953,835","18,301,760","18,675,558"
,,,,
Rhode Island,"53,096,517","53,090,736","52,989,335","53,624,875"
Bristol,"1,558,599","1,554,376","1,528,241","1,546,297"
Kent,"7,956,719","7,986,785","7,923,102","8,086,479"
Newport,"5,124,023","5,152,549","5,234,084","5,328,893"
Providence,"32,512,083","32,514,875","32,363,400","32,410,449"
Washington,"5,940,989","5,878,588","5,938,011","6,252,824"
,,,,
South Carolina,"189,899,804","195,459,612","201,872,573","207,202,634"
Abbeville,"502,241","518,042","524,320","532,044"
Aiken,"5,834,526","5,836,985","5,908,848","6,009,182"
Allendale,"285,756","308,723","330,976","333,219"
Anderson,"5,675,816","5,798,253","6,005,398","6,278,912"
Bamberg,"304,064","307,420","309,752","308,519"
Barnwell,"553,660","596,836","589,145","626,073"
Beaufort,"6,281,508","6,385,554","6,383,085","6,565,845"
Berkeley,"6,132,712","6,502,264","6,694,118","7,034,739"
Calhoun,"648,096","684,549","720,265","732,086"
Charleston,"24,632,471","25,685,960","26,734,903","27,580,595"
Cherokee,"1,653,332","1,712,230","1,720,725","1,926,264"
Chester,"974,521","984,951","982,849","1,044,555"
Chesterfield,"1,406,135","1,402,802","1,397,305","1,438,869"
Clarendon,"550,313","549,389","554,610","551,261"
Colleton,"852,441","878,693","893,693","910,269"
Darlington,"2,276,711","2,233,995","2,237,480","2,272,984"
Dillon,"689,122","726,695","725,760","760,294"
Dorchester,"2,699,844","2,821,728","2,970,814","3,090,144"
Edgefield,"522,185","527,593","542,577","539,275"
Fairfield,"1,549,625","1,738,122","1,608,936","1,222,682"
Florence,"6,253,463","6,425,030","6,588,212","6,747,394"
Georgetown,"2,229,031","2,129,552","2,133,707","2,193,408"
Greenville,"25,442,589","25,966,035","26,706,178","27,449,115"
Greenwood,"2,531,649","2,538,342","2,596,014","2,613,491"
Hampton,"414,872","422,628","420,689","431,300"
Horry,"10,112,562","10,369,975","10,953,498","11,205,683"
Jasper,"853,093","869,976","915,884","906,749"
Kershaw,"1,755,177","1,715,811","1,776,576","1,823,910"
Lancaster,"2,505,743","2,892,462","3,303,682","3,501,614"
Laurens,"3,484,393","3,649,304","3,785,287","3,972,703"
Lee,"287,895","324,167","341,262","335,137"
Lexington,"10,017,161","10,460,193","10,728,777","10,931,139"
McCormick,"173,514","182,360","185,528","189,763"
Marion,"500,436","501,489","505,431","526,593"
Marlboro,"694,453","688,893","703,313","719,813"
Newberry,"1,157,734","1,208,181","1,240,576","1,351,736"
Oconee,"3,332,422","3,364,139","3,486,055","3,480,348"
Orangeburg,"2,966,052","2,975,439","3,071,535","3,115,582"
Pickens,"3,113,133","3,284,205","3,319,149","3,412,082"
Richland,"21,749,024","22,134,526","22,784,354","23,330,091"
Saluda,"362,405","369,376","380,337","383,486"
Spartanburg,"12,110,466","12,562,461","13,125,872","13,481,467"
Sumter,"3,611,478","3,619,175","3,697,262","3,773,452"
Union,"599,087","618,081","631,721","673,529"
Williamsburg,"698,687","705,004","718,866","729,534"
York,"8,930,150","9,299,461","9,958,107","10,183,072"
,,,,
South Dakota,"45,442,579","45,685,462","45,618,910","46,490,474"
Aurora,"136,377","124,408","141,728","150,342"
Beadle,"896,205","875,996","862,555","951,722"
Bennett,"79,871","71,759","67,769","68,067"
Bon Homme,"241,606","202,297","212,897","242,541"
Brookings,"1,814,926","1,901,610","1,859,157","1,957,992"
Brown,"1,940,371","2,034,843","2,011,244","2,025,182"
Brule,"300,698","280,069","281,647","291,223"
Buffalo,"93,881","79,669","97,704","99,261"
Butte,"299,732","270,726","281,621","289,151"
Campbell,"79,316","106,542","96,355","106,786"
Charles Mix,"615,518","603,356","605,982","652,724"
Clark,"168,296","191,882","130,383","179,186"
Clay,"576,073","590,863","590,965","616,494"
Codington,"1,308,491","1,293,121","1,339,436","1,347,759"
Corson,"122,915","93,365","98,524","124,679"
Custer,"206,482","201,317","206,817","205,608"
Davison,"993,150","983,847","993,427","1,028,594"
Day,"221,800","245,225","227,672","264,913"
Deuel,"266,706","299,493","269,692","277,741"
Dewey,"244,923","229,785","215,461","199,284"
Douglas,"240,634","271,949","256,858","250,416"
Edmunds,"166,527","177,554","176,911","188,596"
Fall River,"268,036","285,996","270,242","267,271"
Faulk,"90,718","90,485","80,466","91,714"
Grant,"527,752","523,292","521,161","514,435"
Gregory,"176,541","206,695","229,235","216,574"
Haakon,"129,337","87,740","104,200","109,136"
Hamlin,"206,919","246,025","192,974","214,104"
Hand,"186,834","157,289","166,322","185,945"
Hanson,"160,688","152,946","177,519","172,033"
Harding,"115,717","109,685","103,456","88,038"
Hughes,"1,036,205","1,038,066","1,076,652","1,084,280"
Hutchinson,"447,503","447,925","437,351","497,488"
Hyde,"105,066","88,277","115,044","87,885"
Jackson,"61,784","60,762","62,328","70,597"
Jerauld,"208,377","209,633","218,189","218,648"
Jones,"59,135","46,398","48,083","71,155"
Kingsbury,"222,058","244,511","246,882","252,344"
Lake,"502,031","526,433","507,156","549,295"
Lawrence,"931,015","937,321","960,158","973,243"
Lincoln,"1,977,656","2,049,288","2,102,053","2,200,313"
Lyman,"270,120","223,420","221,402","277,536"
McCook,"231,602","274,024","275,659","284,634"
McPherson,"79,377","74,941","65,217","76,516"
Marshall,"280,878","357,977","322,386","374,220"
Meade,"674,491","679,726","712,295","700,392"
Mellette,"37,229","39,070","33,136","33,186"
Miner,"73,252","90,938","122,156","135,432"
Minnehaha,"14,891,991","14,730,876","14,420,811","14,349,976"
Moody,"335,782","362,485","301,736","321,364"
Oglala Lakota,"277,555","276,358","285,773","299,072"
Pennington,"4,913,374","4,960,752","5,081,755","5,148,494"
Perkins,"129,486","120,838","180,913","142,255"
Potter,"170,288","141,230","159,250","137,557"
Roberts,"281,164","288,280","278,537","327,352"
Sanborn,"147,382","163,188","173,949","169,186"
Spink,"291,633","287,736","295,197","281,485"
Stanley,"205,928","172,637","181,382","214,228"
Sully,"90,310","98,438","121,131","146,973"
Todd,"222,209","201,594","222,888","223,426"
Tripp,"307,836","256,977","252,497","302,451"
Turner,"482,556","516,793","499,218","473,095"
Union,"1,150,341","1,244,855","1,280,231","1,261,290"
Walworth,"201,102","208,920","202,180","217,629"
Yankton,"1,172,730","1,204,358","1,225,255","1,247,817"
Ziebach,"89,094","75,341","68,812","62,201"
,,,,
Tennessee,"301,587,229","308,031,570","313,837,242","323,674,896"
Anderson,"4,136,021","4,196,854","4,267,297","4,244,637"
Bedford,"1,646,389","1,630,862","1,567,526","1,609,446"
Benton,"317,344","317,442","320,424","333,275"
Bledsoe,"203,380","187,746","196,852","210,355"
Blount,"4,519,834","4,590,446","4,665,580","4,809,024"
Bradley,"4,425,202","4,305,445","4,398,986","4,412,936"
Campbell,"763,622","775,059","786,030","806,050"
Cannon,"215,018","225,567","231,378","237,659"
Carroll,"666,139","680,924","678,784","688,843"
Carter,"944,574","962,321","989,393","1,019,574"
Cheatham,"869,691","895,512","933,829","955,278"
Chester,"309,515","319,530","319,995","325,061"
Claiborne,"702,166","700,930","706,544","720,230"
Clay,"186,617","174,124","186,043","179,229"
Cocke,"960,043","945,429","969,122","1,016,848"
Coffee,"2,347,077","2,412,519","2,518,577","2,573,478"
Crockett,"509,204","506,464","524,446","530,071"
Cumberland,"1,454,409","1,500,820","1,511,868","1,515,362"
Davidson,"57,477,375","59,360,691","61,051,774","63,848,008"
Decatur,"291,189","297,794","299,614","313,352"
DeKalb,"652,684","657,850","683,111","711,225"
Dickson,"1,432,647","1,520,211","1,583,911","1,624,735"
Dyer,"1,396,564","1,392,440","1,419,381","1,449,259"
Fayette,"928,658","943,298","933,084","922,002"
Fentress,"407,001","398,768","408,761","417,004"
Franklin,"970,197","983,570","987,470","1,016,719"
Gibson,"1,305,682","1,320,334","1,332,477","1,410,486"
Giles,"899,998","956,977","969,959","988,833"
Grainger,"315,641","338,987","350,987","359,429"
Greene,"2,054,252","2,077,386","2,107,274","2,153,404"
Grundy,"201,003","198,667","202,401","209,935"
Hamblen,"2,781,652","2,843,223","2,885,876","2,996,630"
Hamilton,"21,548,453","22,195,043","22,699,612","23,273,742"
Hancock,"81,973","81,697","81,431","84,889"
Hardeman,"541,672","536,119","546,090","562,953"
Hardin,"796,585","824,101","841,888","885,035"
Hawkins,"1,832,908","1,861,528","1,893,816","1,881,653"
Haywood,"693,919","737,042","716,530","730,120"
Henderson,"718,663","710,518","716,971","742,392"
Henry,"1,095,073","1,130,278","1,143,821","1,124,631"
Hickman,"346,502","354,972","358,082","371,426"
Houston,"134,993","131,233","135,603","139,845"
Humphreys,"704,762","673,927","671,970","603,793"
Jackson,"169,978","167,232","170,402","177,824"
Jefferson,"1,239,350","1,262,979","1,307,810","1,338,198"
Johnson,"366,293","368,547","377,301","375,541"
Knox,"22,659,410","23,336,125","23,678,562","24,573,575"
Lake,"189,121","191,701","186,864","193,306"
Lauderdale,"632,570","641,315","652,706","671,103"
Lawrence,"994,233","989,582","1,020,430","1,057,190"
Lewis,"231,591","236,792","242,207","249,839"
Lincoln,"833,801","864,219","866,822","885,103"
Loudon,"1,426,738","1,444,532","1,475,299","1,561,274"
McMinn,"1,805,453","1,873,492","1,888,403","1,926,369"
McNairy,"596,735","580,467","592,409","597,781"
Macon,"506,721","511,058","542,079","511,236"
Madison,"5,028,505","5,104,444","5,207,837","5,306,184"
Marion,"675,834","697,086","717,654","727,781"
Marshall,"812,471","824,325","923,298","959,596"
Maury,"2,824,220","3,029,705","3,196,187","3,285,859"
Meigs,"195,162","198,079","212,888","220,368"
Monroe,"1,074,259","1,135,166","1,138,152","1,174,306"
Montgomery,"4,482,871","4,607,178","4,773,344","4,928,685"
Moore,"176,274","164,163","171,954","187,161"
Morgan,"261,095","250,873","253,582","265,071"
Obion,"1,029,732","1,019,923","1,036,501","1,034,308"
Overton,"434,657","455,777","470,799","485,920"
Perry,"151,866","157,459","164,580","169,171"
Pickett,"134,100","123,818","127,368","130,490"
Polk,"288,706","272,449","272,205","287,388"
Putnam,"3,010,708","3,107,373","3,213,131","3,308,251"
Rhea,"1,476,179","1,626,403","1,701,138","1,892,112"
Roane,"2,128,394","2,242,410","2,276,626","2,206,450"
Robertson,"2,147,170","2,150,193","2,147,428","2,138,230"
Rutherford,"12,001,017","12,407,135","12,805,719","13,308,992"
Scott,"486,078","487,828","504,414","524,815"
Sequatchie,"242,146","247,846","246,417","247,420"
Sevier,"3,295,860","3,349,914","3,445,451","3,591,754"
Shelby,"55,217,782","55,660,164","56,274,641","57,633,301"
Smith,"619,101","581,835","602,601","685,356"
Stewart,"1,086,774","959,056","759,200","805,094"
Sullivan,"6,805,720","6,843,903","6,913,718","7,134,333"
Sumner,"5,421,962","5,625,727","5,842,545","5,919,474"
Tipton,"993,205","1,014,528","1,009,855","1,030,904"
Trousdale,"146,683","147,991","158,751","179,992"
Unicoi,"526,456","472,446","470,222","494,808"
Union,"266,159","271,565","291,110","298,006"
Van Buren,"93,472","87,715","85,770","89,977"
Warren,"1,242,011","1,294,840","1,249,868","1,258,085"
Washington,"5,145,002","5,213,835","5,347,622","5,468,691"
Wayne,"296,375","273,369","280,453","292,463"
Weakley,"1,029,677","1,055,415","1,093,648","1,112,897"
White,"606,801","632,154","641,565","650,494"
Williamson,"19,361,207","19,817,193","19,766,971","20,705,085"
Wilson,"3,971,535","4,127,355","4,276,223","4,442,285"
,,,,
Texas,"1,596,361,911","1,600,260,157","1,646,264,293","1,712,764,025"
Anderson,"1,733,371","1,761,038","1,757,163","1,821,668"
Andrews,"4,618,403","4,588,979","5,030,447","5,355,273"
Angelina,"3,203,803","3,140,971","3,228,257","3,395,257"
Aransas,"662,999","634,775","606,525","607,950"
Archer,"368,951","343,639","351,437","370,542"
Armstrong,"55,922","48,598","51,314","53,869"
Atascosa,"4,626,219","4,248,916","4,599,172","4,722,996"
Austin,"1,263,940","1,214,253","1,260,054","1,271,624"
