,2015,2016,2017,2018
Crisp,"680,990","682,528","707,876","712,897"
Dade,"335,889","335,398","345,461","376,102"
Dawson,"702,783","737,584","783,804","814,582"
Decatur,"775,385","783,143","834,766","824,276"
DeKalb,"33,778,100","35,049,181","36,167,573","37,396,329"
Dodge,"426,421","425,942","429,116","431,156"
Dooly,"284,463","320,309","307,967","312,341"
Dougherty,"4,008,440","4,081,962","4,114,193","4,198,481"
Douglas,"3,380,816","3,561,003","3,630,212","3,848,040"
Early,"537,524","542,826","545,236","554,226"
Echols,"49,910","50,034","48,503","48,865"
Effingham,"1,618,198","1,665,328","1,744,475","1,789,623"
Elbert,"560,511","555,429","563,622","577,880"
Emanuel,"590,767","593,947","642,729","624,021"
Evans,"340,076","335,816","339,026","348,274"
Fannin,"516,644","543,353","573,522","601,484"
Fayette,"3,784,441","3,995,272","4,141,752","4,314,130"
Floyd,"3,689,436","3,732,691","3,778,121","3,787,411"
Forsyth,"8,294,314","8,453,649","8,444,083","8,676,090"
Franklin,"820,013","838,987","870,627","899,867"
Fulton,"134,304,701","141,794,655","148,753,855","152,383,941"
Gilmer,"769,658","762,776","799,896","827,846"
Glascock,"44,815","45,753","43,859","44,217"
Glynn,"3,348,247","3,342,742","3,401,864","3,524,216"
Gordon,"1,900,852","1,905,260","2,102,470","2,159,797"
Grady,"604,435","585,555","656,456","672,965"
Greene,"576,061","575,522","600,644","614,673"
Gwinnett,"40,829,642","41,633,590","43,164,073","44,198,573"
Habersham,"1,286,371","1,317,301","1,344,593","1,392,422"
Hall,"7,807,071","8,015,174","8,440,946","8,764,977"
Hancock,"164,962","157,907","159,218","160,890"
Haralson,"670,510","680,955","692,227","712,231"
Harris,"406,572","418,466","433,348","449,959"
Hart,"805,711","768,988","801,163","880,377"
Heard,"1,169,222","1,228,666","1,278,253","1,132,700"
Henry,"4,775,897","5,031,465","5,240,352","5,456,897"
Houston,"5,682,804","5,727,423","5,892,668","6,039,600"
Irwin,"166,113","167,520","174,187","181,549"
Jackson,"2,199,723","2,410,639","2,541,010","2,647,300"
Jasper,"224,245","221,699","233,703","238,754"
Jeff Davis,"378,737","370,049","386,919","397,699"
Jefferson,"466,444","489,995","515,230","514,017"
Jenkins,"134,894","143,704","130,903","135,816"
Johnson,"138,959","137,017","132,574","136,228"
Jones,"392,098","400,382","415,254","388,998"
Lamar,"384,184","383,838","385,431","396,516"
Lanier,"142,134","148,957","156,769","154,894"
Laurens,"1,671,630","1,774,071","1,845,028","1,835,285"
Lee,"505,533","522,804","541,501","546,644"
Liberty,"3,265,956","3,197,093","3,206,443","3,212,350"
Lincoln,"129,208","130,161","130,362","131,430"
Long,"114,925","117,315","116,650","120,961"
Lowndes,"4,256,814","4,337,096","4,457,325","4,563,203"
Lumpkin,"626,006","634,151","675,155","696,558"
McDuffie,"586,925","596,121","611,282","624,689"
McIntosh,"179,123","182,627","189,560","193,322"
Macon,"426,794","406,269","428,360","428,881"
Madison,"437,176","427,933","458,809","482,010"
Marion,"129,046","122,502","128,552","128,418"
Meriwether,"444,867","462,361","470,015","486,486"
Miller,"162,760","167,043","169,009","171,059"
Mitchell,"746,460","714,922","709,186","710,687"
Monroe,"1,608,722","1,620,927","1,537,759","1,636,124"
Montgomery,"146,807","145,285","138,204","141,780"
Morgan,"608,663","611,589","649,071","672,292"
